Date/Time,Power Delivered (W)
03/26/2023 07:50 AM EDT,72
03/26/2023 07:55 AM EDT,96
03/26/2023 08:00 AM EDT,156
03/26/2023 08:05 AM EDT,168
03/26/2023 08:10 AM EDT,204
03/26/2023 08:15 AM EDT,240
03/26/2023 08:20 AM EDT,276
03/26/2023 08:25 AM EDT,312
03/26/2023 08:30 AM EDT,348
03/26/2023 08:35 AM EDT,444
03/26/2023 08:40 AM EDT,420
03/26/2023 08:45 AM EDT,240
03/26/2023 08:50 AM EDT,180
03/26/2023 08:55 AM EDT,456
03/26/2023 09:00 AM EDT,828
03/26/2023 09:05 AM EDT,"1,092"
03/26/2023 09:10 AM EDT,"1,992"
03/26/2023 09:15 AM EDT,"1,152"
03/26/2023 09:20 AM EDT,636
03/26/2023 09:25 AM EDT,"1,428"
03/26/2023 09:30 AM EDT,960
03/26/2023 09:35 AM EDT,696
03/26/2023 09:40 AM EDT,936
03/26/2023 09:45 AM EDT,648
03/26/2023 09:50 AM EDT,348
03/26/2023 09:55 AM EDT,300
03/26/2023 10:00 AM EDT,72
03/26/2023 10:05 AM EDT,0
03/26/2023 10:10 AM EDT,48
03/26/2023 10:15 AM EDT,120
03/26/2023 10:20 AM EDT,228
03/26/2023 10:25 AM EDT,252
03/26/2023 10:30 AM EDT,312
03/26/2023 10:35 AM EDT,648
03/26/2023 10:40 AM EDT,"1,104"
03/26/2023 10:45 AM EDT,"1,056"
03/26/2023 10:50 AM EDT,684
03/26/2023 10:55 AM EDT,"1,272"
03/26/2023 11:00 AM EDT,"1,392"
03/26/2023 11:05 AM EDT,"1,080"
03/26/2023 11:10 AM EDT,744
03/26/2023 11:15 AM EDT,804
03/26/2023 11:20 AM EDT,540
03/26/2023 11:25 AM EDT,192
03/26/2023 11:30 AM EDT,384
03/26/2023 11:35 AM EDT,528
03/26/2023 11:40 AM EDT,384
03/26/2023 11:45 AM EDT,216
03/26/2023 11:50 AM EDT,168
03/26/2023 11:55 AM EDT,432
03/26/2023 12:00 PM EDT,648
03/26/2023 12:05 PM EDT,792
03/26/2023 12:10 PM EDT,648
03/26/2023 12:15 PM EDT,"1,032"
03/26/2023 12:20 PM EDT,468
03/26/2023 12:25 PM EDT,672
03/26/2023 12:30 PM EDT,696
03/26/2023 12:35 PM EDT,540
03/26/2023 12:40 PM EDT,816
03/26/2023 12:45 PM EDT,360
03/26/2023 12:50 PM EDT,360
03/26/2023 12:55 PM EDT,288
03/26/2023 01:00 PM EDT,408
03/26/2023 01:05 PM EDT,780
03/26/2023 01:10 PM EDT,804
03/26/2023 01:15 PM EDT,648
03/26/2023 01:20 PM EDT,900
03/26/2023 01:25 PM EDT,744
03/26/2023 01:30 PM EDT,684
03/26/2023 01:35 PM EDT,492
03/26/2023 01:40 PM EDT,420
03/26/2023 01:45 PM EDT,588
03/26/2023 01:50 PM EDT,912
03/26/2023 01:55 PM EDT,"1,032"
03/26/2023 02:00 PM EDT,432
03/26/2023 02:05 PM EDT,144
03/26/2023 02:10 PM EDT,120
03/26/2023 02:15 PM EDT,72
03/26/2023 02:20 PM EDT,96
03/26/2023 02:25 PM EDT,156
03/26/2023 02:30 PM EDT,204
03/26/2023 02:35 PM EDT,192
03/26/2023 02:40 PM EDT,192
03/26/2023 02:45 PM EDT,204
03/26/2023 02:50 PM EDT,204
03/26/2023 02:55 PM EDT,204
03/26/2023 03:00 PM EDT,228
03/26/2023 03:05 PM EDT,264
03/26/2023 03:10 PM EDT,396
03/26/2023 03:15 PM EDT,780
03/26/2023 03:20 PM EDT,960
03/26/2023 03:25 PM EDT,"1,068"
03/26/2023 03:30 PM EDT,"1,272"
03/26/2023 03:35 PM EDT,"1,344"
03/26/2023 03:40 PM EDT,"1,740"
03/26/2023 03:45 PM EDT,"2,424"
03/26/2023 03:50 PM EDT,"2,208"
03/26/2023 03:55 PM EDT,"3,792"
03/26/2023 04:00 PM EDT,"2,472"
03/26/2023 04:05 PM EDT,"1,524"
03/26/2023 04:10 PM EDT,"2,208"
03/26/2023 04:15 PM EDT,"1,356"
03/26/2023 04:20 PM EDT,"1,680"
03/26/2023 04:25 PM EDT,"1,140"
03/26/2023 04:30 PM EDT,"1,020"
03/26/2023 04:35 PM EDT,"1,416"
03/26/2023 04:40 PM EDT,"1,392"
03/26/2023 04:45 PM EDT,"1,104"
03/26/2023 04:50 PM EDT,"1,368"
03/26/2023 04:55 PM EDT,960
03/26/2023 05:00 PM EDT,"1,008"
03/26/2023 05:05 PM EDT,"1,032"
03/26/2023 05:10 PM EDT,948
03/26/2023 05:15 PM EDT,"1,164"
03/26/2023 05:20 PM EDT,984
03/26/2023 05:25 PM EDT,"1,188"
03/26/2023 05:30 PM EDT,876
03/26/2023 05:35 PM EDT,576
03/26/2023 05:40 PM EDT,432
03/26/2023 05:45 PM EDT,348
03/26/2023 05:50 PM EDT,384
03/26/2023 05:55 PM EDT,312
03/26/2023 06:00 PM EDT,288
03/26/2023 06:05 PM EDT,288
03/26/2023 06:10 PM EDT,264
03/26/2023 06:15 PM EDT,240
03/26/2023 06:20 PM EDT,216
03/26/2023 06:25 PM EDT,216
03/26/2023 06:30 PM EDT,180
03/26/2023 06:35 PM EDT,156
03/26/2023 06:40 PM EDT,168
